rank_2024,name,gics_industry,gics_sector,full_city,full_country,revenue_usd_ppp,energy_prod_score,carbon_prod_score,water_prod_score,overall_score,prev_rank,company,industry,revenue,profit_percent,ceo_pay_ratio_days,women_board_percent,women_leadership_percent,women_workforce_percent,climate_grade,sustainability_initiatives,profit_usd
68,Essity AB (publ),Household Products,Consumer Staples,Stockholm,Sweden,18020892387,0.672,0.645,0.45799999999999996,C+,52,Essity AB (publ),Packaging,6803,0.13,65,0.38,0.33,0.1,C+,"1.5°C, SBTi",884.39
69,Equinix Inc,Equity Real Estate Investment Trusts (REITs),Information Technology,Redwood City,U.S.,7263105000,0.127,0.08900000000000001,0,C+,,Equinix Inc,"Data processing, hosting services",2970,0.04,,0.4,0.48,0.01,C+,SBTi,118.8
70,Unibail-Rodamco-Westfield SE,Equity Real Estate Investment Trusts (REITs),Real Estate,Paris,France,4631891245,0.858,0.501,0.391,C+,,Unibail-Rodamco-Westfield SE,Real estate,29790,0.04,26,0.5,0.5,0.08,C+,"1.5°C, SBTi",1191.6
71,Apple Inc,"Technology Hardware, Storage & Peripherals",Information Technology,Cupertino,U.S.,3.94328e+11,0.956,0.6970000000000001,0,C+,73,Apple Inc,Telephones and telecom equipment manufacturing,351888,0.16,,0.33,0.7,0.01,C+,"1.5°C, SBTi",56302.08
72,Ricoh Co Ltd,"Technology Hardware, Storage & Peripherals",Information Technology,Tokyo,Japan,22414493085,0.342,0.306,0,C+,80,Ricoh Co Ltd,Computers and peripherals manufacturing,70161,0.19,17,0.13,0.51,0.34,C+,"1.5°C, SBTi",13330.59
73,Cogeco Communications Inc,Media,Communication Services,Montreal,Canada,2313425610,0.28800000000000003,0.8059999999999999,0,C+,45,Cogeco Communications Inc,Telecom providers,77783,0.06,54,0.5,0.26,0.28,C+,"1.5°C, SBTi",4666.98
74,Solaredge Technologies Inc,Semiconductors & Semiconductor Equipment,Information Technology,Herzliya,Israel,3110279000,0.585,0.664,0,C+,,Solaredge Technologies Inc,Semiconductor and electronic components manufacturing,73903,0.19,,0.5,0.94,0.43,C+,,14041.57
75,Telefônica Brasil SA,Diversified Telecommunication Services,Communication Services,São Paulo,Brazil,26782292808,0.9640000000000001,0.963,0,C+,,Telefônica Brasil SA,Telecom providers,250602,0.02,90,0.33,0.12,0.53,C+,,5012.04
76,Unilever PLC,Personal Products,Consumer Staples,London,U.K.,92633198870,0.652,0.32299999999999995,0.44299999999999995,C+,38,Unilever PLC,Personal products (retail chemical),53579,0.23,98,0.38,0.02,0.04,C+,"1.5°C, SBTi",12323.17
77,Xerox Holdings Corp,"Technology Hardware, Storage & Peripherals",Information Technology,Norwalk,U.S.,7.107e+09,0.11699999999999999,0.2,0,C,36,Xerox Holdings Corp,Computers and peripherals manufacturing,56147,0.06,,0.25,0.75,0.11,C,"1.5°C, SBTi",3368.82
